.2.4...8.....8...68....71..2..5...9..95.......4..3.........1..7..28...4.....6.3..  11.9 11.9 09.9   
..3....8..5....2.17...........5.8..6.9.12....8....3....6.9....5..4....7.....1.6.2  11.9 11.9 02.6   
..3..6.8....1..2......7...4..9..8.6..3..4...1.7.2.....3....5.....5...6..98.....5.  11.9 01.2 01.2   
1.......9..67...2..8....4......75.3...5..2....6.3......9....8..6...4...1..25...6.  11.8 11.8 11.6   
1....6.8....7..1........5.6..9.4.....7.2...3.8....76..3....1..5.4.9.......2.7....  11.8 11.8 11.6   
...4...89..7..92......3...526...1.....19.....7.....1..5...9..4...6..29.....8....3  11.8 11.8 10.7   
........94....92......7..45..1.3.....7.6..9..8....7..2.3.7..8....6.1....9....5.2.  11.8 11.8 10.5   
...4...8...7..92......3...526...1.....19......7....1..5......4..1.8....3..6..29..  11.8 11.8 09.9   
.2.4..7....6.....17...3......5....6..4.2..9.......5..8..1..8....9..7.......92.3..  11.8 11.8 09.8   
1.......9.5....2....87...4.2...3......48.5....8.6...7...6..4.5.........1....9.3..  11.8 11.8 07.9   
.....678........327.....5....1.4.....9.2.....6....7.5.3....58....29......4..1....  11.8 11.8 03.4   
..3.5.7..4....9...6..2.......5...8.3.9.....6.8..........8.1...75....4.2.....3.5.8  11.8 11.8 02.6   
..34...8.......1.37........2...9.......5..8...6...7.4...51....8.7...5...9...62.5.  11.8 11.8 02.6   
1......8......92....6.3...52....8.....5.7.....6.5....4..47...........91..3..6...7  11.8 11.8 02.6   
......7.9...1...3..8...74...9....8.5.....5..75.6....2...2.6......13.....94...8...  11.8 01.5 01.5   
..34......5..89...78...2...2....5..7...6..41....9....5.......6.8...9...2..1...3..  11.8 01.5 01.5   
.....6..94...8.2.....7...1.2.9...8....4.3.9...6.....5.3.8.4.......5......7...1...  11.8 01.2 01.2   
.....6.8....1..2...9..7...5..5.4...734...8...97.........9...6..7...3...4...2...1.  11.8 01.2 01.2   
..3..6.8....1......9..7...4...8..6..3...4...2.....5.1...2.9...37........94....5..  11.8 01.2 01.2   
..34.........8...668..7.1.....5......9..1.6.......2..4..5.....28.....96.97.....1.  11.8 01.2 01.2   
.2....78.4.......6.9..7..1....5....3.....1.......9.12..7..1.8..5....4.....67.3...  11.8 01.2 01.2   
.2...67..4...8......9.......3.....7.5.8....4..1.3....2....9..5....6.1..3...2..6.7  11.8 01.2 01.2   
.2.4..7...5...9.3.6...7......5..8.9.7...2.....4.6..3.......1..85......1...1...9.3  11.8 01.2 01.2   
1...5...9..7...2...69..3.4....8........91..7.9....5..83..5....1..2...6...4.......  11.7 11.7 11.2   
.2...6......1...3...9.7...5..5....78.3.....1.8...4.5....4.9.8...6...2...9.......7  11.7 11.7 10.5   
.234.........8...36.....4.......5..6..19...3.....7.8...19....2.5.......7.4.3...9.  11.7 11.7 09.9   
.2...67......8......91.....23.....7..7....34...1.....8....9...5..2..4...6....342.  11.7 11.7 09.3   
...4...8...6..91......3...42....56...7..4..3...5........1..2...5.....9...8..6...7  11.7 11.7 03.4   
...4.67....67.9.......1......9.6.4..5......2..8......33......5...4.9.1...1...2..8  11.7 11.7 03.4   
....5.78....1.9......7....1.9...1..3..6.2.....4.9.3....7....3.48......6...2....5.  11.7 11.7 02.6   
....56.8...71.....6.....4.......85...3......29...4..6..1.7.......2.....38...9..5.  11.7 11.7 02.6   
....56.8..5.7....3..8......2.....9...4.5....7....92.6.3.4.....15..1..4...1.....7.  11.7 11.7 02.6   
